,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,"아이소이 속보습,100시간 장수진 수분크림50ml 1+1 기획",100.0,31500.0,315.0,"정제수,글리세린,세틸에틸헥사노에이트,카프릴릭/카프릭트라이글리세라이드,베타인,마카다미아씨오일,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드글라이코사미노글리칸,티트리잎추출물,쇠비름추출물,약모밀추출물,판테놀,피토스핑고신,세라마이드엔피,알지닌,카보머,흰버드나무껍질추출물,오레가노잎추출물,편백잎추출물,락토바실러스/콩발효추출물,육계나무껍질추출물,잔탄검,솔비탄세스퀴올리에이트,자몽껍질오일,부틸렌글라이콜,1&2-헥산다이올,프로판다이올,포트마리골드꽃추출물,황금추출물,모란뿌리추출물,스페인감초뿌리추출물,하이드로제네이티드레시틴,리모넨",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018232602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182326&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
1,닥터자르트 시카페어 인텐시브 수딩 리페어 크림 기획,80.0,49000.0,612.5,"정제수,다이프로필렌글라이콜,세테아릴알코올,프로판다이올,폴리글리세릴-3메틸글루코오스다이스테아레이트,피토스테릴이소스테아릴다이머디리놀리에이트,부틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,시어버터,다이카프릴릴에터,나이아신아마이드,글리세릴스테아레이트에스이,펜틸렌글라이콜,합성비즈왁스,퀸즈랜드넛오일,카카오추출물,병풀잎추출물,1&2-헥산다이올,세틸에틸헥사노에이트,다이글리세린,비닐다이메티콘,세테아릴올리베이트,솔비탄올리베이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,글리세린,알란토인,아시아티코사이드,트로메타민,마데카식애씨드,아시아틱애씨드,아데노신,아이소펜틸다이올,덱스트린,솔비탄아이소스테아레이트,트라이소듐에틸렌다이아민다이석시네이트,폴리글리세릴-4올리에이트,소듐스테아로일글루타메이트,소듐서팩틴,토코페롤,덱스트란,팔미토일트라이펩타이드-8,카보머,잔탄검,페녹시에탄올,황색4호,청색1호",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018258104ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182581&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
2,아비브 부활초 크림 뉴트리션 튜브 75ml,75.0,35000.0,466.67,"정제수,부틸렌글라이콜,글리세린,트루로즈오브예리코추출물,카프릴릭/카프릭트라이글리세라이드,다이아이소스테아릴말레이트,코코넛야자오일,시어버터,세테아릴알코올,다이글리세린,펜틸렌글라이콜,1&2-헥산다이올,비스-다이글리세릴폴리아실아디페이트-2,카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,아이소트라이데실아이소노나노에이트,아라키딜알코올,호호바에스터,카나우바왁스,락토바실러스발효물,차가버섯추출물,블루아가베잎추출물,판테놀,합성비즈왁스,비닐다이메티콘,글리세릴스테아레이트,아라키딜글루코사이드,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,팔미틱애씨드,트로메타민,하이드로제네이티드레시틴,다이포타슘글리시리제이트,에틸헥실글리세린,아데노신,트라이소듐에틸렌다이아민다이석시네이트,토코페롤,메틸프로판다이올,베헤닐알코올,C12-16알코올,잔탄검",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014840905ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148409&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
3,에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획,90.0,24000.0,266.67,"정제수,스쿠알란,글리세린,1&2-헥산다이올,베타인,판테놀,소듐하이알루로네이트,하이드롤라이즈드콜라겐,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,아세틸헥사펩타이드-8,아데노신,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,알란토인,자일리틸글루코사이드,안하이드로자일리톨,자일리톨,글루코오스,부틸렌글라이콜,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,카프릴릴글라이콜",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015623035ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156230&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
4,숨37 마이크로액티브 소프트 핏 크림 50ml,50.0,75000.0,1500.0,"정제수,글리세린,2,3-부탄다이올,스쿠알란,코코-카프릴레이트/카프레이트,트레할로오스,메도우폼씨오일,1&2-헥산다이올,C13-15알케인,카프릴릭/카프릭트라이글리세라이드,판테놀,피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,베헤닐알코올,C14-22알코올,글리세릴베헤네이트,세테아릴알코올,메틸트라이메티콘,미리스틸미리스테이트,폴리글리세릴-3메틸글루코오스다이스테아레이트,트라이에틸헥사노인,레시틴,다이메티콘,C12-20알킬글루코사이드,C30-45알킬다이메티콘,폴리우레탄-15,폴리아크릴레이트-13,부틸렌글라이콜,세라마이드엔피,잔탄검,비니거,하이드로제네이티드폴리아이소부텐,아데노신,스클레로튬검,암모늄폴리아크릴로일다이메틸타우레이트,풀루란,폴리글리세릴-10라우레이트,에틸헥실팔미테이트,실리카,솔비탄아이소스테아레이트,토코페롤,해바라기씨오일,효모폴리펩타이드,포도주추출물,베르가모트오일,다마스크장미꽃오일,일랑일랑꽃오일,리날룰,리모넨,제라니올,시트로넬올,시트랄,벤질벤조에이트,벤질살리실레이트,파네솔",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018091813ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180918&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
5,에스트라 아토베리어365 크림 80ml,80.0,31000.0,387.5,"정제수,글리세린,부틸렌글라이콜,부틸렌글라이콜다이카프릴레이트/다이카프레이트,펜타에리스리틸테트라아이오스테아레이트,사이클로펜타실록세인,스쿠알란,세틸에틸헥사노에이트베헤닐알코올,스테아릭애씨드,하이드록시프로필비스팔미타마이드엠이에이,사이클로헥사실록세인,C14-22알코올,하이드록시프로필비스라우라마이드엠에이,만니톨,아라키딜알코올,콜레스테롤,폴리아크릴레이트-13,알란토인,카나우바왁스추출물,C12-20알킬글루코사이드,아라키딜글루코사이드,다이메틴콘올,폴리아이소부텐,피토스핑고신,글리세릴카프릴레이트,아크릴레이트/암모늄메타크릴레이트코폴리머,카보머,트로메타민,에틸헥실글리세린,실리카,폴리솔베이트20,솔비탄아이소스테아레이트,글루코오스,아라키딕애씨드,팔미틱애씨드,소목줄기가루,올레익애씨드,토코페롤",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011770102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000117701&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
6,파티온 노스카나인 트러블 크림 45ml,45.0,32000.0,711.11,"정제수,글리세린,메도우폼씨오일,카프릴릭/카프릭트라이글리세라이드,비닐다이메티콘,다이글리세린,폴리글리세릴-3다이스테아레이트,세테아릴알코올,1&2-헥산다이올,펜틸렌글라이콜,펜타에리스리틸테트라에틸헥사노에이트,쑥잎추출물,하이드로제네이티드쌀겨오일,하이드로제네이티드레시틴,세테아릴올리베이트,소듐스테아로일글루타메이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리글리세릴-2스테아레이트,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,아이소도데케인,하이드록시아세토페논,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,클로렐라불가리스추출물,글루코오스,솔비탄올리베이트,글리세릴스테아레이트,스테아릴알코올,판테놀,글리세릴스테아레이트시트레이트,부틸렌글라이콜,프룩토올리고사카라이드,프룩토오스,잔탄검,스테아릭애씨드,석시닉애씨드,다이메티콘/비닐다이메티콘크로스폴리머,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,소듐파이테이트,솔비탄아이소스테아레이트,폴리글리세릴-10스테아레이트,세라마이드엔피,알란토인,베타-글루칸,폴리글리세릴-10라우레이트,세라마이드엔에스,소듐헤파린,콜레스테롤,에틸헥실글리세린,피토스핑고신,세라마이드에이피,세라마이드에이에스,스쿠알란,다이프로필렌글라이콜,병풀추출물,세라마이드이오피,카프릴릴/카프릴글루코사이드",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017738303ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177383&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
7,가히 멀티밤 리필형 기획,18.0,74000.0,4111.11,"해바라기씨오일,폴리글리세릴-2트라이아이소스테아레이트,칸데릴라왁스,시어버터,스위트아몬드오일,사과씨오일,옥틸도데칸올,마이크로크리스탈린왁스,한련초추출물,인도멀구슬나무잎추출물,유용성감초추출물,드럼스틱씨오일,칸디다/가르시니아발효물,쌀배아오일,오미자추출물,울금뿌리추출물,지치뿌리추출물,카놀라오일,타라열매추출물,클로렐라불가리스추출물,코토니추출물,당근씨오일,하이드롤라이즈드콜라겐,접시꽃추출물,당근추출물,토코페롤,아데노신,정제수,부틸렌글라이콜,1&2-헥산다이올,베타-카로틴,토코페릴아세테이트,에틸헥실글리세린,수용성프로테오글리칸,소듐디엔에이,비에이치티,향료,벤질살리실레이트,벤질벤조에이트,부틸페닐메틸프로피오날,헥실신남알,하이드록시시트로넬알,시트로넬올,알파-아이소메틸아이오논,치자추출물",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017629306ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176293&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
8,피지오겔 레드수딩 AI 진정보습 크림 100ml,100.0,35500.0,355.0,"정제수,올리브오일,글리세린,펜틸렌글라이콜,식물성오일,기름야자오일,하이드로제네이티드레시틴,스쿠알란,베타인,팔미타마이드엠이에이,사코신,아세트아마이드엠이에이,하이드록시에칠셀룰로오스,카보머,소듐카보머,잔탄검",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012977408ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129774&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
9,CKD 레티노콜라겐 저분자 300 크림 1+1 기획,80.0,38000.0,475.0,"수용성콜라겐,하이드로제네이티드폴리데센,카프릴릭/카프릭트라이글리세라이드,글리세린,펜타에리스리틸테트라에틸헥사노에이트,사이클로헥사실록세인,글리세릴스테아레이트,세테아릴알코올,나이아신아마이드,정제수,폴리글리세릴-6다이스테아레이트,하이드로제네이티드레시틴,폴리글리세릴-10라우레이트,글리세릴폴리메타크릴레이트,황벽나무껍질추출물,향기제비꽃잎추출물,소듐하이알루로네이트,팔마로사오일,베르가모트오일,올리브오일,센티드제라늄꽃오일,라벤더오일,캐모마일꽃오일,연필향나무오일,오렌지껍질오일,로즈우드오일,화이트참파카꽃오일,멕시칸주니퍼오일,오렌지꽃오일,판테놀,하이드롤라이즈드콜라겐,다이프로필렌글라이콜,비즈왁스,소듐스테아로일글루타메이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,알라닌,페닐알라닌,호호바에스터,다이카프릴릴에터,세틸알코올,라이신,폴리글리세릴-3비즈왁스,부틸렌글라이콜,잔탄검,알지닌,아데노신,다이소듐이디티에이,발린,트레오닌,베헤닐알코올,솔비탄아이소스테아레이트,소듐라우레이트,타이로신,글리세릴스테아레이트에스이,레틴알,라우릭애씨드,솔비탄라우레이트,세라마이드엔피,콜레스테롤,글라이신,수크로오스다이스테아레이트,세린,글루타믹애씨드,하이드록시에틸셀룰로오스,프롤린,아세틸다이펩타이드-1세틸에스터,아스파틱애씨드,류신,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,아이소류신,히스티딘,하이알루로닉애씨드,엘라스틴,포스포리피드,메티오닌,카퍼트라이펩타이드-1,트라이펩타이드-1,아세틸헥사펩타이드-8,헥사펩타이드-9,팔미토일펜타펩타이드-4,팔미토일테트라펩타이드-7,팔미토일트라이펩타이드-1,노나펩타이드-1,시스테인,1&2-헥산다이올,하이드록시아세토페논,에틸헥실글리세린,카프릴릴글라이콜,제라니올,리모넨,리날룰,시트로넬올,시트랄",cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016887101ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168871&dispCatNo=1000001000100090002&trackingCd=Cat1000001000100090002_Small
