,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,유세린 하이알루론 아이크림 더블기획,30.0,73000.0,2433.33,"정제수,글리세린,부틸렌글라이콜다이카프릴레이트/다이카프레이트,디에칠아미노하이드록시벤조일헥실벤조에이트,메틸프로판다이올,합성비즈왁스,베헤닐알코올,에칠헥실트리아존,하이드로제네이티드코코-글리세라이즈,옥틸도데칸올,스테아릴알코올,세틸팔미테이트,글리세릴스테아레이트시트레이트,돌콩배아추출물,알루미늄전분옥테닐석시네이트,비스-에칠헥실옥시페놀메톡시페닐트리아진,1&2-헥산다이올,다이메티콘,페녹시에탄올,메틸메타크릴레이트크로스폴리머,카보머,에틸헥실글리세린,소듐하이알루로네이트,트라이소듐이디티에이,소듐하이드록사이드",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011880318ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000118803&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
1,차앤박 프로폴리스 에센셜 아이크림 1+1 기획 50ml+50ml,100.0,40000.0,400.0,"정제수,다이메티콘,프로판다이올,글리세린,다이프로필렌글라이콜,다이메티콘/비닐다이메티콘크로스폴리머,1&2-헥산다이올,나이아신아마이드,부틸렌글라이콜,판테놀,폴리솔베이트60,아이소스테아릴아이소스테아레이트,하이드로제네이티드레시틴,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,C14-22알코올,스쿠알란,세라마이드엔피,소듐폴리아크릴로일다이메틸타우레이트,마카다미아씨오일,피이지-10레이프씨드스테롤,트라이에틸헥사노인,다이카프릴릴에터,피이지/피피지-18/18다이메티콘,잔탄검,아라키딜글루코사이드,시어버터,프로폴리스추출물,글리세릴스테아레이트,아데노신,티타늄디옥사이드,마이카,폴리글리세릴-10다이라우레이트,스테아릭애씨드,글리세레스-20,센티드제라늄꽃오일,소듐하이알루로네이트,트라이소듐이디티에이,카보머,콜레스테롤,피이지-100스테아레이트,적색산화철,에탄올,꿀추출물,로얄젤리추출물,시트로넬올,제라니올,리날룰",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017695103ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176951&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
2,AHC 텐션 아이크림 스틱 포 페이스 기획,13.5,28000.0,2074.07,"'해바라기씨오일,폴리글리세릴-2트라이아이소스테아레이트,카프릴릭/카프릭트라이글리세라이드,옥틸도데칸올,마이크로크리스탈린왁스,시어버터,마카다미아씨오일폴리글리세릴-6에스터스베헤네이트,토코페릴아세테이트,칸데릴라왁스,합성왁스,폴리에틸렌,비스-다이글리세릴폴리아실아디페이트-2,피마자씨오일,피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,실리카,한련초추출물,인도멀구슬나무잎추출물,동백나무씨추출물,동백나무꽃추출물,지치뿌리추출물,콜라겐추출물,실론시나몬나무껍질추출물,바실러스/폴릭애씨드발효여과추출물,쌀추출물,알로에베라잎추출물,밀펩타이드,하이드롤라이즈드콜라겐추출물,리마콩씨추출물,동백나무씨오일,콜라겐수,하이드로제네이티드레시틴,수용성콜라겐,소듐하이알루로네이트,녹차수,쌀배아오일,코코넛야자오일,돌콩펩타이드,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,알파-비사보롤,토코페롤,솔비탄올리베이트,폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트,드럼스틱씨오일,정제수,부틸렌글라이콜,글리세린,만니톨,아스코빅애씨드폴리펩타이드,에칠아스코빌에텔,카르노신,코코일하이드롤라이즈드콜라겐,콜라겐,락토바실러스발효용해물,펜타에리스리틸테트라아이소스테아레이트,1&2-헥산다이올,스키조사카로미세스발효여과물,락토바실러스세포외소포,카프릴로일글라이신,포타슘코코일하이드롤라이즈드콜라겐,헥실렌글라이콜,그래핀옥사이드,메틸프로판다이올,사코신,프로판다이올,레시틴,솔비탄라우레이트,판테놀,실리카다이메틸실릴레이트,락토바실러스발효물,펜틸렌글라이콜,카프릴릴글라이콜,라피노오스,수용성엘라스틴,아세틸글루타민,인체줄기세포배양액,콜라겐아미노산,폴리솔베이트80,하이드록시에틸셀룰로오스,락틱애씨드,칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물,아세틸다이펩타이드-1세틸에스터,하이드록시아세토페논,소듐콘드로이틴설페이트,세라마이드엔피,이눌린라우릴카바메이트,세틸하이드록시에틸셀룰로오스,아텔로콜라겐,에틸헥실글리세린,루틴,하이드롤라이즈드콜라겐,다이메틸실란올하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,아세틸테트라펩타이드-11,트로메타민,아세틸테트라펩타이드-9,팔미토일트라이펩타이드-5,글라이코리피드,나이아신아마이드,다이포타슘포스페이트,판토테닉애씨드,포타슘세틸포스페이트,포타슘하이알루로네이트,폴리글리세릴-10라우레이트,하이알루로닉애씨드,헵타소듐헥사카복시메틸다이펩타이드-12,소듐하이알루로네이트크로스폴리머,하이드록시프로필트라이모늄하이알루로네이트,아세틸헥사펩타이드-8,소듐하이알루로네이트다이메틸실란올,효모폴리펩타이드,소듐아세틸레이티드하이알루로네이트,팔미토일테트라펩타이드-7,팔미토일트라이펩타이드-1,귀리펩타이드,마그네슘아스코빌포스페이트,소듐아스코빌포스페이트,아스코빌프로필하이알루로네이트,콩폴리펩타이드,아세틸옥타펩타이드-3,3-아스코빌카보닐다이펩타이드-17,글라이신,글루타믹애씨드,글루타민,노나펩타이드-1,다이펩타이드-1,다이펩타이드-2,다이펩타이드-4,라이신,레티닐팔미테이트,류신,리보플라빈,메나다이온,메티오닌,바이오틴,발린,사이아노코발아민,세린,시스테인,시트룰린,아세틸테트라펩타이드-2,아세틸테트라펩타이드-3,아세틸테트라펩타이드-5,아세틸트라이펩타이드-1,아스코빅애씨드,아스파라진,아스파틱애씨드,아이소류신,알라닌,알라닌/히스티딘/라이신폴리펩타이드카퍼에이치씨엘,알지닌,오르니틴,올리고펩타이드-6,카퍼트라이펩타이드-1,카프릴로일다이펩타이드-17,타우린,타이로신,트라이펩타이드-1,트라이펩타이드-2,트라이펩타이드-3,트레오닌,트립토판,티아민에이치씨엘,페닐알라닌,펜타펩타이드-3,폴릭애씨드,프롤린,피리독신,헥사펩타이드-2,헥사펩타이드-9,히스티딘,에스에이치-올리고펩타이드-1,에스에이치-폴리펩타이드-1,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,알-소폴리펩타이드-1,에스에이치-올리고펩타이드-2,에스에이치-폴리펩타이드-11,에스에이치-폴리펩타이드-14,에스에이치-폴리펩타이드-16,에스에이치-폴리펩타이드-22,에스에이치-폴리펩타이드-3,에스에이치-폴리펩타이드-4,에스에이치-폴리펩타이드-9,카프릴로일에스에이치-노나펩타이드-6,팔미토일다이펩타이드-7,팔미토일펜타펩타이드-4,팔미토일헥사펩타이드-12,향료,데하이드로아세틱애씨드",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017912903ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179129&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
3,아이소이 불가리안 로즈 인텐시브 리프팅 스팟 25ml,25.0,39000.0,1560.0,"정제수,글리세린,세틸에틸헥사노에이트,카프릴릭/카프릭트라이글리세라이드,마카다미아씨오일,세테아릴알코올,글리세릴스테아레이트,펜타에리스리틸테트라아이소스테아레이트,스테아릭애씨드,아라키딜알코올,베타인,트레할로오스,폴리글리세릴-3메틸글루코오스다이스테아레이트,다마스크장미꽃오일,시어버터,잔탄검,베헤닐알코올,아라키딜글루코사이드,다마스크장미꽃수,아데노신,판테놀,황련뿌리추출물,소듐하이알루로네이트,알란토인,팔미토일트라이펩타이드-5,밤껍질추출물,아세로라추출물,몰로키아잎추출물,브로콜리추출물,로즈마리추출물,니아울리나무잎오일,마트리카리아꽃/잎추출물,병풀추출물,부틸렌글라이콜,1&2-헥산다이올,스페인감초뿌리추출물,황금추출물,모란뿌리추출물,시트로넬올,제라니올,파네솔,유제놀",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016519205ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165192&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
4,샤이샤이샤이 바나나 컨실 아이크림 15g,15.0,26000.0,1733.33,"정제수,글리세린,부틸렌글라이콜,티타늄디옥사이드,사이클로펜타실록세인,1&2-헥산다이올,사이클로헥사실록세인,하이드로제네이티드폴리데센,나이아신아마이드,바나나추출물,트루로즈오브예리코추출물,아보카도열매추출물,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,소듐폴리아크릴레이트,토코페릴아세테이트,아이소헥사데칸,판테놀,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,알루미늄하이드록사이드,트라이에톡시카프릴릴실레인,아데노신,솔비탄올리에이트,다이소듐이디티에이,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,스테아레스-20,에틸헥산다이올,토코페롤,하이드롤라이즈드콜라겐,말토덱스트린,포타슘라우레이트,N-하이드록시석신이미드,클로헥시딘다이글루코네이트,글리세릴글루코사이드,소듐시트레이트,팔미토일트라이펩타이드-1,크리신,팔미토일테트라펩타이드-7,시트릭애씨드,바이오틴,피이지-240/에이치디아이코폴리머비스-데실테트라데세스-20에터,폴리솔베이트80,향료,하이드록시아세토페논,에틸헥실글리세린,페녹시에탄올,포타슘솔베이트,황색산화철,적색산화철",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015462705ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154627&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
5,체이싱래빗 버니 라인 스무더 15ml,15.0,20000.0,1333.33,"녹차수,글리세린,카프릴릭/카프릭트라이글리세라이드,하이드로제네이티드폴리아이소부텐,다이카프릴릴카보네이트,나이아신아마이드,수크로오스스테아레이트,락토바실러스발효용해물,알지닌,락토바실러스/석류발효추출물,베타인,슈도알테로모나스발효추출물,판테놀,스위트아몬드오일,아데노신,녹차추출물,잉카피넛씨오일,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,베타-글루칸,토코페롤,하이알루로닉애씨드,정제수,글리세릴스테아레이트,베헤닐알코올,부틸렌글라이콜,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,1&2-헥산다이올,카보머,소듐파이테이트,프로판다이올,에틸헥실글리세린",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016533305ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165333&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
6,비원츠 피토 콜라겐 아이 세럼 스틱 15ml,15.0,30000.0,2000.0,"왕대수액,정제수,메틸프로판다이올,폴리글리세린-3,1&2-헥산다이올,나이아신아마이드,글리세린,어리연꽃추출물,베타인,다시마추출물,한련초잎추출물,병풀추출물,무화과추출물,카바카바잎/뿌리/줄기추출물,밤부사불가리스싹추출물,밤부사불가리스잎/줄기추출물,영지버섯줄기추출물,돌콩추출물,붉은토끼풀추출물,하이드로제네이티드레시틴,밤부사불가리스수,베르가모트오일,소듐하이알루로네이트,수용성콜라겐,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,콜라겐,옥틸도데세스-16,류코노스톡/무발효여과물,카보머,부틸렌글라이콜,프룩탄,트로메타민,아데노신,프룩토올리고사카라이드,다이소듐이디티에이,소듐폴리아크릴레이트,피브이엠/엠에이코폴리머,베타-글루칸,하이드롤라이즈드하이알루로닉애씨드,프로판다이올,세라마이드엔피,폴리글리세릴-10미리스테이트,수크로오스폴리스테아레이트,글리세릴스테아레이트에스이,세틸알코올,스테아릴알코올,소듐스테아로일글루타메이트,올레아놀릭애씨드,테트라하이드로피페린,플로레틴,하이드로제네이티드폴리아이소부텐,록샘파이어캘러스배양여과물,알지닌,포타슘세틸포스페이트,에틸헥실글리세린,펜틸렌글라이콜,리모넨,리날룰",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017154807ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171548&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
7,스와니코코 펩타이드 아이크림 트리플 기획,60.0,32000.0,533.33,"인삼캘러스배양추출물,아스퍼질러스/쌀발효여과물,부틸렌글라이콜,스테아릭애씨드,글리세린,다이카프릴릴카보네이트,나이아신아마이드,1&2-헥산다이올,락토바실러스/레몬껍질발효추출물,오렌지껍질추출물,에스에이치-폴리펩타이드-11,에스에이치-올리고펩타이드-2,아세틸헥사펩타이드-8,헥사펩타이드-12,폴리글리세릴-3스테아레이트,세테아릴올리베이트,베타인,소듐하이알루로네이트,팔미토일트라이펩타이드-5,카퍼트라이펩타이드-1,솔비탄라우레이트,하이드록시에틸셀룰로오스,아세틸다이펩타이드-1세틸에스터,진세노사이드,백금클로이드,하이드롤라이즈드콜라겐,석류추출물,무화과추출물,뽕나무열매추출물,은행추출물,아르니카몬타나꽃추출물,쓴쑥추출물,서양톱풀추출물,겐티아나뿌리추출물,마트리카리아꽃추출물,폴리글루타믹애씨드,아스코빌글루코사이드,잎새버섯자실체추출물,말토덱스트린,목련나무껍질추출물,하이드롤라이즈드하이알루로닉애씨드,바이오사카라이드검-1,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,베타-글루칸,동백나무씨오일,토코페롤,카보머,알란토인,알지닌,라벤더오일,유향나무오일,오렌지껍질오일,필리핀오렌지껍질오일,아데노신,리모넨,리날룰",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017913203ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179132&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
8,브링그린 당근 비타 아이크림 앤 페이스 더블기획,60.0,25000.0,416.67,"정제수,당근수,카프릴릭/카프릭트라이글리세라이드,부틸렌글라이콜,나이아신아마이드,프로판다이올,하이드로제네이티드폴리데센,글리세린,펜틸렌글라이콜,비닐다이메티콘,1&2-헥산다이올,세테아릴알코올,폴리메틸실세스퀴옥세인,인도멀구슬나무꽃추출물,인도멀구슬나무잎추출물,오렌지껍질오일,당근추출물,울금뿌리추출물,홀리바질잎추출물,유향나무오일,센티드제라늄꽃오일,참산호말추출물,베티버뿌리오일,발삼아미리스껍질오일,당근전초추출물,티트리잎오일,당근씨오일,장미꽃오일,비타민나무열매추출물,하이드롤라이즈드콜라겐,지모뿌리추출물,다이글리세린,폴리글리세릴-3메틸글루코오스다이스테아레이트,트라넥사믹애씨드,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,알부틴,세테아릴올리베이트,글리세릴스테아레이트,솔비탄올리베이트,하이드록시아세토페논,팔미틱애씨드,스테아릭애씨드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,레티닐팔미테이트,트로메타민,판테놀,아데노신,바이오사카라이드검-1,토코페롤,에틸헥실글리세린,하이드로제네이티드폴리아이소부텐,메틸프로판다이올,알에이치-올리고펩타이드-1,알에이치-올리고펩타이드-2,알에이치-폴리펩타이드-1,다이소듐이디티에이,리모넨,시트로넬올,리날룰,제라니올,카라멜",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017137404ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171374&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
9,이자녹스 링클포커스 리프팅샷 트리플 기획,90.0,39900.0,443.33,"정제수,글리세린,아이소스테아릴아이소스테아레이트,1&2-헥산다이올,메틸글루세스-20,나이아신아마이드,판테놀,피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,폴리아크릴레이트-13,시어버터,다이메티콘,다이프로필렌글라이콜,폴리아이소부텐,스테아릴알코올,피이지-40하이드로제네이티드캐스터오일,폴리솔베이트60,세드롤,소듐폴리아크릴레이트,폴리아크릴레이트크로스폴리머-6,폴리솔베이트20,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,솔비탄아이소스테아레이트,잔탄검,한련초추출물,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,트로메타민,부틸렌글라이콜,티타늄디옥사이드,마이카,트라이소듐이디티에이,인도멀구슬나무잎추출물,수용성프로테오글리칸,카프릴릭/카프릭트라이글리세라이드,T-부틸알코올,적색산화철,드럼스틱씨오일,제라닐제라닐아이소프로판올,피이지-8카프릴릭/카프릭글리세라이즈,미리스토일테트라펩타이드-34,카프릴릴글라이콜,하이드로제네이티드레시틴,아세틸헥사펩타이드-8,글라이코프로테인,향료,시트로넬올,헥실신남알,하이드록시시트로넬알,리모넨,리날룰",eye_cream,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015728502ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157285&dispCatNo=1000001000100090003&trackingCd=Cat1000001000100090003_Small
