,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,에센허브 티트리 100 오일 10ml 기획,10.0,19800.0,1980.0,티트리잎오일,faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015938707ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159387&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
1,트릴로지 써티파이드 오가닉 100% 로즈힙 오일,20.0,30000.0,1500.0,로즈힙씨오일,faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017260914ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000172609&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
2,식물나라 프로폴리스 워터리 멀티 오일 더블기획50mL*2,100.0,28800.0,288.0,"정제수,글리세린,펜틸렌글라이콜,글리세릴폴리메타크릴레이트,메틸글루세스-20,에탄올,폴리글리세린-3,나이아신아마이드,메틸프로판다이올,꿀추출물,프로폴리스추출물,참마뿌리추출물,카바카바잎/뿌리/줄기추출물,병풀추출물,인삼열매추출물,카카오씨추출물,서양유채씨오일,하이드로제네이티드레시틴,효모발효여과물,옥틸도데세스-16,글라이코실트레할로오스,잔탄검,하이드로제네이티드스타치하이드롤리세이트,아데노신,라피노오스,카보머,소듐폴리아크릴레이트,트로메타민,피브이엠/엠에이코폴리머,레시틴,폴리쿼터늄-51,베타-글루칸,덱스트린,바이오사카라이드검-1,1&2-헥산다이올,향료",faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001621304ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016213&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
3,코스알엑스 더 레티놀 0.5 오일 20ml,20.0,25000.0,1250.0,"스쿠알란,돌콩오일,다이-C12-13알킬말레이트,레티놀,카프릴릭/카프릭트라이글리세라이드,비에이치티,토코트라이엔올,토코페롤,오일팜오일,하이드록시메톡시페닐데칸온",faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016327806ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163278&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
4,로벡틴 배리어 리페어 페이스 오일 30ml,30.0,39000.0,1300.0,"카프릴릭/카프릭트라이글리세라이드,해바라기씨오일,동백나무씨오일,스쿠알란,올리브오일,알파-비사보롤,아틀라스시다나무껍질오일,불가리스쑥오일,토코페롤캐모마일꽃오일,갈바눔수지오일,비타민나무오일,비터오렌지꽃오일",faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015379906ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153799&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
5,한율 달빛유자페이스오일 30ML,30.0,38000.0,1266.67,"카프릴릭/카프릭트라이글리세라이드,다이카프릴릴카보네이트,펜타에리스리틸테트라아이소스테아레이트,해바라기씨오일,스쿠알란,다이카프릴릴에터,피마자씨오일,리모넨,유자껍질오일,당근추출물,리날룰,토코페롤,돌콩오일,베타-카로틴",faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017155602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171556&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
6,에센허브 티트리 100 오일 10ml,10.0,19800.0,1980.0,티트리잎오일,faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016327504ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163275&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
7,디오디너리 100%플랜트-디라이브드 스쿠알란,30.0,12500.0,416.67,스쿠알란,faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0010/A00000010760102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107601&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
8,식물나라 프로폴리스 워터리 멀티 오일50mL,50.0,17800.0,356.0,"정제수,글리세린,펜틸렌글라이콜,글리세릴폴리메타크릴레이트,메틸글루세스-20,에탄올,폴리글리세린-3,나이아신아마이드,메틸프로판다이올,꿀추출물,프로폴리스추출물,참마뿌리추출물,카바카바잎/뿌리/줄기추출물,병풀추출물,인삼열매추출물,카카오씨추출물,서양유채씨오일,하이드로제네이티드레시틴,효모발효여과물,옥틸도데세스-16,글라이코실트레할로오스,잔탄검,하이드로제네이티드스타치하이드롤리세이트,아데노신,라피노오스,카보머,소듐폴리아크릴레이트,트로메타민,피브이엠/엠에이코폴리머,레시틴,폴리쿼터늄-51,베타-글루칸,덱스트린,바이오사카라이드검-1,1&2-헥산다이올,향료",faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018089102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180891&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
9,100% 오가닉 버진 치아 씨드 오일,30.0,10600.0,353.33,멕시칸치아씨오일,faceoil,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0010/A00000010410213ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104102&dispCatNo=1000001000100100002&trackingCd=Cat1000001000100100002_Small
