,피부고민,정도,성분명,성분 설명
0,트러블성 피부 케어,훌륭함,레티놀,"레티놀은 가장 잘 알려진 노화 방지 성분 중 하나이며 강력한 성분으로, 피부에 여러 가지 이점을 제공하며 가시적인 결과를 선사하기 위해 다양한 농도로 사용된다."
1,트러블성 피부 케어,훌륭함,레티닐레티노에이트,합성 레티놀. 레티놀계의 새로운 세대라고 할 수 있다. 피부 노화의 징후를 회복하고 개선하는 데 유용하다는 연구 결과가 있다.
2,트러블성 피부 케어,훌륭함,레티닐아스코베이트,항산화제 역할을 하는 비타민 A(레티노익애씨드)와 비타민 C(아스코빅애씨드)의 에스터이다.
3,트러블성 피부 케어,훌륭함,바위돌꽃뿌리추출물,"북극 뿌리, 황금 뿌리라고 알려진 바위돌꽃의 추출물. 항산화제, 플라보노이드가 많이 함유되어 있다."
4,트러블성 피부 케어,훌륭함,바하,BHA 또는 베타하이드록시애씨드는 일반적으로 살리실릭애씨드로 더 널리 알려져 있다.
5,트러블성 피부 케어,훌륭함,베타-하이드록시애씨드,"지용성 각질 제거 성분으로, 묵은 각질을 벗겨내고 모공을 열어주어 부드럽고 매끄러운 피부 톤과 질감으로 가꿔준다. "
6,트러블성 피부 케어,훌륭함,벤조일퍼옥사이드,"처방전 없이 살 수 있는 국소 항균 여드름 치료제로, 모낭에 침투하는 능력과 낮은 민감성으로 여드름을 유발하는 박테리아를 죽이는 능력 때문에 가장 효과적인 것으로 알려졌다. "
7,트러블성 피부 케어,훌륭함,비타민 A,"비타민 A는 레티놀이라고도 알려져 있으며, 가장 잘 알려진 노화 방지 성분 중 하나이다. 강력한 성분으로, 피부에 여러 가지 이점을 제공하며 가시적인 결과를 선사하기 위해 다양한 농도로 사용된다."
8,트러블성 피부 케어,훌륭함,살리실릭애씨드,"지용성 각질 제거 성분으로, 묵은 각질을 벗겨내고 모공을 열어주어 부드럽고 매끄러운 피부 톤과 질감으로 가꿔준다. "
9,트러블성 피부 케어,훌륭함,아젤라익애씨드,"진정제 및 순한 각질 제거제이며, 피부 결을 정돈하고 잡티와 잡티 자국을 줄여준다. 붉어지고 민감해진 피부를 진정시키는 것으로 유명하다. "
10,트러블성 피부 케어,훌륭함,아젤렉스,아젤라익애씨드의 처방약이다.
11,트러블성 피부 케어,훌륭함,채널드랙추출물,
12,트러블성 피부 케어,훌륭함,카프릴로일살리실릭애씨드,카프릴로일살리실릭애씨드는 로레알에서 개발한 살리실릭애씨드의 유도체(에스터)이다. 
13,트러블성 피부 케어,훌륭함,칸나비디올,칸나비디올은 Cannabis sativa 및 Cannabis indica 식물의 구성 요소 중 하나이다. 
14,트러블성 피부 케어,훌륭함,테트라펩타이드-30,펩타이드. 고르지 못하고 변색된 피부 톤을 개선해준다.
15,트러블성 피부 케어,좋음,베타인살리실레이트,"사탕무에서 유래된 성분이며, 때때로 각질 제거 성분인 살리실릭애씨드의 대체재로 사용된다."
16,트러블성 피부 케어,좋음,석시닉애씨드,
17,트러블성 피부 케어,좋음,피리독신에이치씨엘,"피리독신에이치씨엘은 비타민 B6의 학명이며, 국소 적용시 피부에 항산화 효과가 있을 수 있다."
18,트러블성 피부 케어,보통,티트리,
19,트러블성 피부 케어,보통,티트리오일,"리날룰, 리모넨, 유칼립톨과 같은 휘발성 성분을 함유한다. 피부에 자극을 줄 수 있다."
20,트러블성 피부 케어,나쁨,설퍼콜로이드,유황 및 콜로이드성 유황의 국소 적용은 피부를 자극하여 경미한 감작을 유발할 수 있다.
21,트러블성 피부 케어,매우 나쁨,황,"피부에 긍정적인 영향보다 부정적인 영향이 크다. 벤조일퍼옥사이드, 아젤라익애씨드, 살리실릭애씨드와 같은 다른 성분이 기대만큼 효과가 없다면 피부 고민을 해결하기 위한 마지막 수단이라고 봐야 한다."
22,안티에이징,훌륭함,(아몬드/보리지/아마/올리브)애씨드/글리세라이즈,"아몬드, 보리지, 아마, 올리브를 포함한 여러가지 무향의 식물성 오일에서 비롯된 지방산과 트라이글리세라이드 성분의 혼합물."
23,안티에이징,훌륭함,3-O-에틸아스코빅애씨드,"강력한 항산화제로 매우 안정적인 형태의 비타민 C이며, 피부 톤을 개선하고 변색을 사라지게 하는데 도움을 주며, 피부를 눈에 띄게 단단하게 만든다."
24,안티에이징,훌륭함,D-알파-토코페롤,D-알파-토코페롤은 비타민 E 중 가장 효과적인 형태로 간주되는 항산화제이다.
25,안티에이징,훌륭함,Ester-C,"Ester-C는 상품명으로, 주로 칼슘아스코베이트를 포함한 비타민 C 형태의 조합으로 구성된다."
26,안티에이징,훌륭함,L-아스코빅애씨드,"비타민 C의 한 형태로, 뛰어 항산화제이자 피부 진정제이다."
27,안티에이징,훌륭함,Matrixyl 3000,
28,안티에이징,훌륭함,가시선인장,
29,안티에이징,훌륭함,가자열매추출물,자외선에 노출된 피부를 보호해주고 피부의 보조 요소를 유지하는 데 기여한다.
30,안티에이징,훌륭함,감마리놀레닉애씨드,"감마리놀레닉애씨드(GLA)는 지방산으로, 화장품에 연화제 및 항산화제로 작용한다."
