,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,피지오겔 DMT로션 200ml+50ml 기획,250.0,38000.0,152.0,"정제수,카프릴릭/카프릭트라이글리세라이드,글리세린,펜틸렌글라이콜,코코넛야자오일,오일팜오일,시어버터,올리브오일,하이드로제네이티드레시틴,하이드록시에틸셀룰로오스,카프릴릴글라이콜,잔탄검,스쿠알란,카보머,소듐카보머,세라마이드엔피",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018241602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182416&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
1,라운드랩 1025 독도 로션 400ml,400.0,39000.0,97.5,"정제수,글리세린,퀸즈랜드넛오일,1&2-헥산다이올,펜틸렌글라이콜,아이리쉬모스추출물,사탕수수추출물,해수,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,판테놀,스쿠알란,부틸렌글라이콜,폴리글리세릴-3메틸글루코오스다이스테아레이트,글리세릴스테아레이트,하이드로제네이티드폴리데센,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,호호바에스터,카프릴릴글라이콜,트로메타민,소듐파이테이트,토코페롤,소듐카복시메틸베타-글루칸,에틸헥실글리세린,세테아릴알코올,카보머",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016150808ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161508&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
2,아벤느 트릭세라 뉴트리-플루이드 로션 1+1 기획,400.0,33000.0,82.5,"아벤느온천수,글리세린,카프릴릭/카프릭트라이글리세라이드,아이소프로필팔미테이트,프로필렌글라이콜다이카프릴레이트/다이카프레이트,글리세릴스테아레이트,피이지-100스테아레이트,미레스-3미리스테이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,벤조익애씨드,카프릴릴글라이콜,카보머,조합향료,글라이신,돌콩추출물,달맞이꽃오일,피이지-32,피이지-400,펜틸람노사이드,소듐하이드록사이드,토코페롤,토코페릴아세테이트,정제수",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016079005ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160790&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
3,피지오겔 레드수딩 AI 진정보습 로션 200ml,200.0,37500.0,187.5,"정제수,카프릴릭/카프릭트리글리세라이드,글리세린,펜틸렌글라이콜,시어버터,하이드로제네이티드레시틴,팔미타마이드엠이에이,하이드록시에칠셀룰로오스,카프릴릴글라이콜,잔탄검,베타인,스쿠알란,사코신,아세트아마이드엠이에이,소듐카보머,카보머,세라마이드엔피",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012977106ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129771&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
4,에스트라 아토베리어365 로션 150ml,150.0,31000.0,206.67,"정제수,부틸렌글라이콜,글리세린,스쿠알란,펜타에리스리틸테트라이소스테아레이트,사이클로펜타실록산,폴리글리세릴-3메칠,글루코오스디스테아레이트,부틸렌글라이콜디카프릴레이트/디카프레이트,카프릴릭/카프릭트리글리세라이드,사이클로헥사실록산,스테아릭애씨드,팔미틱애씨드,글리세릴스테아레이트,하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머,하이드록시프로필비스팔미타마이드엠이에이,폴리글리세릴-10스테아레이트,디메치콘올,콜레스테롤,하이드록시프로필비스라우라,마이드엠이에이,베헤닐알코올,피토스핑고신,글리세릴카프릴레이트,카보머,디소듐이디티에이,에칠헥실글리세린,트로메타민,소르,비탄이소스테아레이트,아라키딕애씨드,미리스틱애씨드,만니톨,카나우바왁스추출물,토코페롤,아크릴레이트/암모늄메타크릴레이트,코폴리머,실리카,소목줄기가루,올레익애씨드",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012900813ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129008&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
5,아이소이 불가리안 로즈 인텐시브 에너자이징 크림EX 30ml,30.0,43000.0,1433.33,"정제수,글리세린,마카다미아씨오일,스쿠알란,카프릴릭/카프릭트라이글리세라이드,펜타에리스리틸테트라아이소스테아레이트,세틸에틸헥사노에이트,트레할로오스,베타인,글리세릴스테아레이트,세테아릴알코올,알부틴,스테아릭애씨드,아라키딜알코올,메도우폼씨오일,솔비탄스테아레이트,다마스크장미꽃오일,시어버터,호호바씨오일,올리브오일,베헤닐알코올,아라키딜글루코사이드,다마스크장미꽃수,세라마이드엔피,아데노신,잔탄검,알란토인,팔미토일트라이펩타이드-5,참마뿌리추출물,밤껍질추출물,아세로라추출물,몰로키아잎추출물,브로콜리추출물,로즈마리추출물,니아울리나무잎오일,마트리카리아꽃/잎추출물,병풀추출물,락토바실러스/콩발효추출물,흰목이버섯추출물,황련뿌리추출물,부틸렌글라이콜,1&2-헥산다이올,스페인감초뿌리추출물,황금추출물,모란뿌리추출물,시트로넬올,제라니올,파네솔,유제놀,리날룰",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015462507ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154625&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
6,라운드랩 포 맨 자작나무 수분 로션 200ml,200.0,24000.0,120.0,"정제수,부틸렌글라이콜,글리세린,아이소노닐아이소노나노에이트,자작나무수액,베타인,스쿠알란,하이드로제네이티드폴리,글리세릴글루코사이드,다이포타슘글리시리제이트,알란토인,쇠비름추출물,감나무잎추출물,포도추출물,잇꽃꽃추출물,커피콩추출물,호장근뿌리추출물,밤껍질추출물,초피나무열매추출물,녹차추출물,소듐하이알루로네이트,하이알루로닉애씨드,아스코빅애씨드,치자추출물,토코페롤,에틸헥실글리세린,다이프로필렌글라이콜,세테아릴올리베이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,솔비탄올리베이트,하이드록시아세토페논,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,카프릴릴글라이콜,솔비탄아이소스테아레이트,덱스트린,글리세릴카프릴레이트,1&2-헥산다이올,다이소듐이디티에이",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016349420ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163494&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
7,리얼베리어 익스트림 로션 150ml 기획,200.0,30000.0,150.0,"정제수,글리세린,프로판다이올,카프릴릭/카프릭트라이글리세라이드,솔비탄스테아레이트,펜타에리스리틸스테아레이트/카프레이트/카프릴레이트/아디페이트,글리세릴스테아레이트,미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,부틸렌글라이콜,다이메티콘,토코페롤,카보머,알지닌,알란토인,잇꽃씨오일,판테놀,솔비탄라우레이트,해바라기씨오일,소듐하이알루로네이트,하이드록시에틸셀룰로오스,아세틸다이펩타이드-1세틸에스터,광곽향오일,살비아오일,소두구씨오일,다이하이드록시아이소프로필팔모일팜아마이드,마데카소사이드,비스-카프릴로일옥시팔미타미도아이소프로판올,스테아릭애씨드,엑토인,피토스테롤,캐모마일꽃오일,콘민트오일,자일리틸글루코사이드,안하이드로자일리톨,멕시칸주니퍼오일,자일리톨,글루코오스,아세틸헵타펩타이드-4,1&2-헥산다이올,카프릴릴글라이콜",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015770619ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157706&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
8,싸이닉 더 심플 데일리 로션 260ml,260.0,18000.0,69.23,"정제수,프로판다이올,펜틸렌글라이콜,비닐다이메티콘,글리세린,세틸에칠헥사노에이트,알바수련꽃추출물,알로에베라잎즙,부틸렌글라이콜,마데카소사이드,세테아릴올리베이트,카보머,솔비탄올리베이트,트로메타민,소듐하이알루로네이트",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013707809ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137078&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
9,아벤느 트릭세라 더블 기획,1003.0,40000.0,39.88,"아쿠아,글리세린,카프릴릭/카프릭트라이글리세라이드,아이소프로필팔미테이트,프로필렌글라이콜다이카프레이트,글리세릴스테아레이트,피이지-100스테아레이트,미레스-3미리스테이트,토코페릴아세테이트,달맞이꽃오일,카프릴릴글라이콜,글라이신,펜틸람노사이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카보머,벤조익애씨드,정제수,소듐하이드록사이드,향료,피이지-400,콩추출물,피이지-32,토코페롤",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013769208ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137692&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
10,랩시리즈 데일리 레스큐 하이드레이팅 에멀전 50ml,50.0,59000.0,1180.0,"정제수,부틸렌글라이콜,글리세린,호호바씨오일,하이드로제네이티드폴리아이소부텐,다이메티콘,아이소노닐아이소노나노에이트,폴리글리세릴-6다이스테아레이트,토코페릴아세테이트,소듐하이알루로네이트,무수카페인,아보카도오일,하이드롤라이즈드쌀추출물,페닐트라이메티콘,호호바에스터,솔비톨,소듐스테아로일글루타메이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,소듐폴리아스파테이트,라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,아이소헥사데칸,소듐시트레이트,에르고티오네인,하이드로제네이티드레시틴,세틸알코올,소듐하이드록사이드,잔탄검,폴리글리세릴-3비즈왁스,수크로오스,갈락토아라비난,시트릭애씨드,아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머,카프릴릴글라이콜,폴리아크릴레이트크로스폴리머-6,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,폴리솔베이트80,헥실렌글라이콜,폴리솔베이트60,솔비탄아이소스테아레이트,t-부틸알코올,하이드록시에틸우레아,향료,비에이치티,다이소듐이디티에이,페녹시에탄올,소듐벤조에이트",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015811004ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158110&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
11,아크웰 리얼 아쿠아 밸런싱 로션 140ml,140.0,25000.0,178.57,"정제수,프로판다이올,1&2-헥산다이올,비닐다이메티콘,세틸에틸헥사노에이트,부틸렌글라이콜,세테아릴올리베이트,카보머,솔비탄올리베이트,글리세린,트로메타민,에틸헥실글리세린,송이버섯추출물,다이소듐이디티에이,하이드롤라이즈드이집트콩씨추출물,노랑만병초잎추출물,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,동백나무꽃추출물,글리세릴글루코사이드,약모밀추출물,돌나물추출물,감초뿌리추출물,사카라이드아이소머레이트,시트릭애씨드,소듐시트레이트",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014480310ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144803&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
12,피지오겔 DMT 데일리보습 로션 200ml,200.0,38000.0,190.0,"정제수,카프릴릭/카프릭트리글리세라이드,글리세린,펜틸렌글라이콜,코코넛오일,기름야자오일,시어버터,올리브오일,하이드로제네이티드레시틴,하이드록시에칠셀룰로오스,카프릴릴글라이콜,잔탄검,스쿠알란,카보머,소듐카보머,세라마이드3",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001280903ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000012809&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
13,CKD 레티노콜라겐 저분자 300 크림 40ml,40.0,38000.0,950.0,"수용성콜라겐,하이드로제네이티드폴리데센,카프릴릭/카프릭트라이글리세라이드,글리세린,펜타에리스리틸테트라에틸헥사노에이트,사이클로헥사실록세인,글리세릴스테아레이트,세테아릴알코올,나이아신아마이드,정제수,폴리글리세릴-6다이스테아레이트,하이드로제네이티드레시틴,폴리글리세릴-10라우레이트,글리세릴폴리메타크릴레이트,황벽나무껍질추출물,향기제비꽃잎추출물,소듐하이알루로네이트,팔마로사오일,베르가모트오일,올리브오일,센티드제라늄꽃오일,라벤더오일,캐모마일꽃오일,연필향나무오일,오렌지껍질오일,로즈우드오일,화이트참파카꽃오일,멕시칸주니퍼오일,오렌지꽃오일,판테놀,하이드롤라이즈드콜라겐,다이프로필렌글라이콜,비즈왁스,소듐스테아로일글루타메이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,알라닌,페닐알라닌,호호바에스터,다이카프릴릴에터,세틸알코올,라이신,폴리글리세릴-3비즈왁스,부틸렌글라이콜,잔탄검,알지닌,아데노신,다이소듐이디티에이,발린,트레오닌,베헤닐알코올,솔비탄아이소스테아레이트,소듐라우레이트,타이로신,글리세릴스테아레이트에스이,레틴알,라우릭애씨드,솔비탄라우레이트,세라마이드엔피,콜레스테롤,글라이신,수크로오스다이스테아레이트,세린,글루타믹애씨드,하이드록시에틸셀룰로오스,프롤린,아세틸다이펩타이드-1세틸에스터,아스파틱애씨드,류신,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,아이소류신,히스티딘,하이알루로닉애씨드,엘라스틴,포스포리피드,메티오닌,카퍼트라이펩타이드-1,트라이펩타이드-1,아세틸헥사펩타이드-8,헥사펩타이드-9,팔미토일펜타펩타이드-4,팔미토일테트라펩타이드-7,팔미토일트라이펩타이드-1,노나펩타이드-1,시스테인,1&2-헥산다이올,하이드록시아세토페논,에틸헥실글리세린,카프릴릴글라이콜,제라니올,리모넨,리날룰,시트로넬올,시트랄",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015377808ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153778&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
14,아크네스 모이스처 플루이드 150ml,150.0,15000.0,100.0,"정제수,글리세린,프로판다이올,페닐트라이메티콘,1&2-헥산다이올,판테놀,부틸렌글라이콜,네오펜틸글라이콜다이헵타노에이트,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,솔비탄아이소스테아레이트,마이크로크리스탈린셀룰로오스,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,하이드록시프로필메틸셀룰로오스스테아록시에터,셀룰로오스검,레시틴,소듐하이알루로네이트,에틸헥실글리세린,해바라기씨오일,퀸즈랜드넛오일,스쿠알란,티트리잎추출물,펜틸렌글라이콜,폴리글리세릴-10올리에이트,피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,콜레스테롤,알루미늄수크로오스옥타설페이트,유채스테롤,소듐서팩틴,셀룰로오스,병풀추출물,약모밀추출물,하이드로제네이티드레시틴,화이트루핀씨추출물,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드글라이코사미노글리칸,토코페롤,소듐하이드록사이드,벤질글라이콜,하이드롤라이즈드하이알루로닉애씨드,다이소듐이디티에이,징크옥사이드,하이알루로닉애씨드,라즈베리케톤",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015081606ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150816&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
15,라운드랩 1025 독도 로션,250.0,20000.0,80.0,"정제수,글리세린,퀸즈랜드넛오일,1&2-헥산다이올,펜틸렌글라이콜,호호바에스터,아이리쉬모스추출물,사탕수수추출물,해수,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,폴리글리세릴-3메틸글루코오스다이스테아레이트,글리세릴스테아레이트,하이드로제네이티드폴리데센,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,카프릴릴글라이콜,트로메타민,소듐파이테이트,판테놀,스쿠알란,부틸렌글라이콜,토코페롤,소듐카복시메틸베타-글루칸,에틸헥실글리세린,세테아릴알코올,카보머",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014557623ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145576&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
16,유세린 이븐래디언스 모이스처라이저 50ml,50.0,38000.0,760.0,"정제수,프로판다이올,글리세린,세틸에틸헥사노에이트,나이아신아마이드,1&2-헥산다이올,판테놀,비닐다이메티콘,부틸렌글라이콜,세테아릴올리베이트,세테아릴알코올,솔비탄올리베이트,카보머,글리세릴글루코사이드,트로메타민,하이드로제네이티드레시틴,폴리글리세릴-10올리에이트,스페인감초뿌리추출물,에틸헥실글리세린,세틸알코올,다이소듐이디티에이,소듐하이알루로네이트,아스코빌글루코사이드,올리브나무잎추출물,징크피씨에이,아스코빅애씨드,토코페롤",lotion_emulsion,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017069007ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170690&dispCatNo=1000001000100080002&trackingCd=Cat1000001000100080002_Small
