,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,아누아 어성초 77 토너 어워즈 한정 기획,750,58000,77.33,"약모밀추출물,정제수,1&2-헥산다이올,글리세린,베타인,병풀추출물,체이스트트리추출물,우엉뿌리추출물,진흙버섯추출물,쇠비름추출물,포도추출물,사과추출물,사탕수수추출물,판테놀,마트리카리아꽃추출물,소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,메틸프로판다이올,부틸렌글라이콜,아이소펜틸다이올,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,다이소듐이디티에이",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017610403ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176104&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
1,라네즈 크림스킨 170ml+리필 120ml,290,33000,113.79,"정제수,부틸렌글라이콜,글리세린,메도우폼씨오일,아이소펜틸다이올,1&2-헥산다이올,스쿠알란,폴리글리세릴-10스테아레이트,글리세릴스테아레이트시트레이트,소듐스테아로일글루타메이트,이눌린라우릴카바메이트,글리세릴카프릴레이트,에틸헥실글리세린,프로판다이올,다이소듐이디티에이,카보머,만니톨,아크릴레이트/스테아릴메타크릴레이트코폴리머,흰목이버섯포자낭과추출물,하이알루로닉애씨드,녹차추출물,잔탄검,세라마이드엔피,동백나무꽃추출물,토코페롤,아세틸테트라펩타이드-11",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017903740ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179037&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
2,바이오더마 하이드라비오 토너 500ml,500,38000,76,"정제수,글리세린,폴리솔베이트20,다이소듐이디티에이,세트리모늄브로마이드,향료,나이아신아마이드,자일리톨,알란토인,프룩토올리고사카라이드,만니톨,헥실데칸올,소듐하이드록사이드,시트릭애씨드,람노오스,사과씨추출물,유채스테롤,토코페롤",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017437003ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174370&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
3,에스트라 에이시카365 수분진정결토너 250ml,250,30000,120,"정제수,부틸렌글라이콜,글리세린,글루코노락톤,트로메타민,1&2-헥산다이올,판테놀,프로판다이올,폴리쿼터늄-51,에틸헥실글리세린,다이소듐이디티에이,마데카소사이드,베타-글루칸,폴리글리세릴-10라우레이트,토코페롤,스쿠알란,피토스테롤",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017800103ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000178001&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
4,아비브 어성초 카밍 토너 스킨부스터 더블 기획,400,39000,97.5,"정제수,약모밀추출물,글리세린,부틸렌글라이콜,펜틸렌글라이콜,자일리톨,비피다발효용해물,소듐하이알루로네이트,돌콩추출물,병풀추출물,하이드롤라이즈드하이알루로닉애씨드,황금추출물,파스향나무잎추출물,인동덩굴꽃추출물,베타인,1&2-헥산다이올,판테놀,에틸헥실글리세린,옥탄다이올,토코페롤,바이오사카라이드검-4,다이소듐이디티에이,잔탄검",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015525302ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155253&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
5,브링그린 티트리시카 수딩토너  단품/기획,510,22000,43.14,"티트리추출물,정제수,부틸렌글라이콜,다이프로필렌글라이콜,병풀추출물,펜틸렌글라이콜,티트리꽃/잎/줄기추출물,티트리잎오일,베타인,판테놀,콜레스-24,소듐시트레이트,시트릭애씨드,에틸헥실글리세린,베타인살리실레이트,토코페롤,잔탄검",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014170417ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141704&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
6,닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,500,39000,78,"정제수,다이프로필렌글라이콜,프로판다이올,펜틸렌글라이콜,나이아신아마이드,부틸렌글라이콜,글리세린,쇠비름추출물,병풀추출물,무화과추출물,흰버드나무껍질추출물,사탕수수추출물,사과추출물,케이프알로에잎추출물,하이드로제네이티드레시틴,판테놀,라피노오스,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,다이소듐이디티에이,베타인,베타-글루칸,마데카소사이드,세라마이드엔피,마데카식애씨드,아시아티코사이드,아시아틱애씨드,에틸헥실글리세린,1&2-헥산다이올,카프릴릴글라이콜",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015417705ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154177&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
7,닥터자르트 시카페어 인텐시브 수딩 리페어 트리트먼트 로션 기획,210,38000,180.95,"정제수,프로판다이올,다이프로필렌글라이콜,1&2-헥산다이올,글리세린,메틸프로판다이올,베타인,알란토인,판테놀,에틸헥실글리세린,소듐하이알루로네이트,부틸렌글라이콜,폴리글리세릴-4올리에이트,병풀잎추출물,소듐스테아로일글루타메이트,아시아티코사이드,마데카식애씨드,아시아틱애씨드,팔미토일트라이펩타이드-8,잔탄검,소듐서팩틴,아이소펜틸다이올,덱스트란,토코페롤",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018258304ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182583&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
8,더랩바이블랑두 올리고 히알루론산 5000토너 200ml+200ml 리필기획,400,28900,72.25,"정제수,부틸렌글라이콜,1&2-헥산다이올,글리세린,소듐하이알루로네이트,하이알루로닉애씨드,동백나무잎추출물,베타-글루칸,다이소듐이디티에이,알란토인,접시꽃추출물,토코페롤,판테놀,에틸헥실글리세린",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017973701ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179737&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
9,로벡틴 수분에센스 단독기획,280,29000,103.57,"정제수,글리세린,메틸글루세스-20,펜틸렌글라이콜,부틸렌글라이콜,나이아신아마이드,솔비톨,아데노신,카페인,소듐하이알루로네이트,알란토인,판테놀,알지닌,하이알루로닉애씨드,스페인감초뿌리추출물,마트리카리아꽃추출물,병풀추출물,돌콩싹추출물,파파야열매추출물,1&2-헥산다이올,소듐피씨에이,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,하이드록시에틸셀룰로오스,트레할로오스,소듐폴리글루타메이트,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,포타슘하이알루로네이트,소듐하이알루로네이트크로스폴리머,다이소듐이디티에이",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015933111ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159331&dispCatNo=1000001000100080001&trackingCd=Cat1000001000100080001_Small
